Code,Description,Work Type,Labor Hours,FRT
00032200,Pre-Loaner Vehicle Inspection,Inspection,1.0,1.0
00032201,Loaner Registration Confirmation,Inspection,0.2,0.2
00033200,VIC Roadworthy Safety Inspection (RWC),Inspection,1.5,1.5
00033300,New Hampshire State Inspection,Inspection,0.6,0.6
00038000,Global Press Vehicle inspection,Inspection,6.1,6.1
00039000,Used Vehicle Intake Inspection (UVIS Only),Inspection,0.0,0.0
00039400,Repossessions and Recoveries Inspection,Inspection,0.5,0.5
00040100,Perform Post-Repair Validation Test Drive,Test/Adjust,0.3,0.3
00040900,Virginia Safety Inspection,Inspection,0.5,0.5
00050104,Additional Work Required - ODIN Routine Troubleshooting,General Diagnosis,0.1,0.1
00100004,General Diagnosis,General Diagnosis,0.5,0.5
00100014,Diagnosis: Unable to Replicate Concern,General diagnosis conclusion,0.0,0.0
00100024,Remote Diagnosis,Remote Diagnostics,0.3,0.3
00100025,Remote Diagnosis: Customer Declined ,Remote Diagnostics,0.0,0.0
00901320,Install Ceramic Coating,Retrofit,2.0,2.0
10000004,Adjustment: Body / Closure Components,Test/Adjust,0.0,0.0
10000105,Jack Mode Activation,Test/Adjust,0.06,0.06
100002091,Auto Diagnostics,Remote Diagnostics,0.0,0.0
10010007,Tesla Body Repair - Paint Supplies,Body Shop,0.0,0.0
10010008,Tesla Body Repair - Miscellaneous Labor,Body Shop,0.0,0.0
10010009,Storage Fees,Body Shop,1.0,1.0
10010010,Tesla Body Repair - Frame Labor,Body Shop,0.0,0.0
10010011,Tesla Body Repair - Structural,Body Shop,0.0,0.0
10010012,Tesla Body Structural - Sheet Metal Quotation,Test/Adjust,1.2,1.2
10010014,Tesla Body Structural - Sheet Metal Repair,Restore,1.0,1.0
10010015,Tesla Body Structural--Reassemble Parts,Test/Adjust,1.0,1.0
10010016,Tesla Body Repair - Aluminum Labor,Body Shop,0.0,0.0
10010100429,Cantrail to Fender Rework,Repair,0.18,0.18
1001045011,Front End Carrier Plastic Assembly,Remove and Install,0.48,0.48
1001045012,Front End Carrier Plastic Assembly,Remove and Replace,0.48,0.48
1001046011,Front Fascia Fairing Assembly - LH,Remove and Install,0.12,0.12
1001046012,Front Fascia Fairing Assembly - LH,Remove and Replace,0.12,0.12
1001046021,Front Fascia Fairing Assembly - RH,Remove and Install,0.12,0.12
1001046022,Front Fascia Fairing Assembly - RH,Remove and Replace,0.12,0.12
1001046031,Front Fascia Lower Dummy LP Cover,Remove and Install,0.06,0.06
1001046032,Front Fascia Lower Dummy LP Cover,Remove and Replace,0.06,0.06
1001046041,Cover - Camera - Lower - Fascia - Front   ,Remove and Install,0.06,0.06
1001046042,Cover - Camera - Lower - Fascia - Front   ,Remove and Replace,0.06,0.06
1001046051,Front Fascia,Remove and Install,0.42,0.42
1001046052,Front Fascia,Remove and Replace,0.84,0.84
1001050011,Front Energy Absorber - Front Bumper Beam Assembly,Remove and Install,1.08,1.08
1001050012,Front Energy Absorber - Front Bumper Beam Assembly,Remove and Replace,1.08,1.08
1001050021,Support Bracket - LH - Front Energy Absorber,Remove and Install,0.42,0.42
1001050022,Support Bracket - LH - Front Energy Absorber,Remove and Replace,0.42,0.42
1001050031,Support Bracket - RH - Front Energy Absorber,Remove and Install,0.42,0.42
1001050032,Support Bracket - RH - Front Energy Absorber,Remove and Replace,0.42,0.42
1001050041,Support Bracket - Center - Front Energy Absorber,Remove and Install,0.48,0.48
1001050042,Support Bracket - Center - Front Energy Absorber,Remove and Replace,0.48,0.48
1001052011,Lower Tow Eye Cap - LH - Front Grille,Remove and Install,0.06,0.06
1001052012,Lower Tow Eye Cap - LH - Front Grille,Remove and Replace,0.06,0.06
1001052021,Lower Tow Eye Cap - RH - Front Grille,Remove and Install,0.06,0.06
1001052022,Lower Tow Eye Cap - RH - Front Grille,Remove and Replace,0.06,0.06
1001052031,Front Center Applique Assembly,Remove and Install,0.12,0.12
1001052032,Front Center Applique Assembly,Remove and Replace,0.12,0.12
1001052041,Frunk Switch,Remove and Install,0.12,0.12
1001052042,Frunk Switch,Remove and Replace,0.12,0.12
1001052051,Foam Seal - Upper/Lower - Front Grille,Remove and Install,0.42,0.42
1001052052,Foam Seal - Upper/Lower - Front Grille,Remove and Replace,0.42,0.42
1001052061,Foam Seal - Side - Front Grille,Remove and Install,0.42,0.42
1001052062,Foam Seal - Side - Front Grille,Remove and Replace,0.42,0.42
1001052071,Front Lower Grille,Remove and Install,0.42,0.42
1001052072,Front Lower Grille,Remove and Replace,0.42,0.42
1001089011,Step Bracket Center - RH - Rear Fascia,Remove and Install,0.42,0.42
1001089012,Step Bracket Center - RH - Rear Fascia,Remove and Replace,0.42,0.42
1001089021,Step Bracket Center - LH - Rear Fascia,Remove and Install,0.42,0.42
1001089022,Step Bracket Center - LH - Rear Fascia,Remove and Replace,0.42,0.42
1001089031,Body Side Bracket - RH - Rear Fascia,Remove and Install,0.42,0.42
1001089032,Body Side Bracket - RH - Rear Fascia,Remove and Replace,0.42,0.42
1001089041,Body Side Bracket - LH - Rear Fascia,Remove and Install,0.42,0.42
1001089042,Body Side Bracket - LH - Rear Fascia,Remove and Replace,0.42,0.42
1001089051,Rear Fascia,Remove and Install,0.36,0.36
1001089052,Rear Fascia,Remove and Replace,0.9,0.9
1001089061,Trailer Hitch Cover,Remove and Install,0.06,0.06
1001089062,Trailer Hitch Cover,Remove and Replace,0.06,0.06
1001094011,Rear Energry Absorber - Center Bracket,Remove and Install,0.54,0.54
1001094012,Rear Energry Absorber - Center Bracket,Remove and Replace,0.54,0.54
1001094021,Rear Energry Absorber - Fascia Step Bracket - Center,Remove and Install,0.42,0.42
1001094022,Rear Energry Absorber - Fascia Step Bracket - Center,Remove and Replace,0.42,0.42
1001094031,Rear Energry Absorber - Cast Bumper Assembly - LH,Remove and Install,0.78,0.78
1001094032,Rear Energry Absorber - Cast Bumper Assembly - LH,Remove and Replace,0.78,0.78
1001094041,Rear Energry Absorber - Cast Bumper Assembly - RH,Remove and Install,0.71,0.71
1001094042,Rear Energry Absorber - Cast Bumper Assembly - RH,Remove and Replace,0.71,0.71
10011105701,Active Grille Shutter,Remove and Install,1.14,1.14
10011105702,Active Grille Shutter,Remove and Replace,1.14,1.14
10019408,Body Panel Repair/ Refinish,Refinish,0.0,0.0
10100008,Tesla Body Repair - Mechanical Labor,Body Shop,0.0,0.0
10100101402,ASSEMBLY - BODY SIDE COMPLETE - LEFT HAND,Remove and Replace,23.9,23.9
10100101602,ASSEMBLY - BODY SIDE COMPLETE - RIGHT HAND,Remove and Replace,23.9,23.9
10100101802,ASSEMBLY - FRONT QUARTER OUTER PANEL - LEFT,Remove and Replace,5.16,5.16
10100101902,FRONT QUARTER WINDOW ASSEMBLY (OUTER) - LEFT,Remove and Replace,5.22,5.22
10100102002,ASSEMBLY - FRONT QUARTER OUTER PANEL - RIGHT,Remove and Replace,6.1,6.1
10100102102,FRONT QUARTER WINDOW ASSEMBLY (OUTER) - RIGHT,Remove and Replace,5.22,5.22
10100118802,ASSEMBLY - BODY SIDE OUTER - LEFT HAND,Remove and Replace,18.05,18.05
10100118902,ASSEMBLY - BODY SIDE OUTER - RIGHT HAND,Remove and Replace,18.05,18.05
10100119002,ASSEMBLY - CANTRAIL STUD PLATE,Remove and Replace,0.66,0.66
10100119102,ASSEMBLY - C-PILLAR INNER - LEFT HAND,Remove and Replace,26.45,26.45
10100119202,ASSEMBLY - C-PILLAR INNER - RIGHT,Remove and Replace,26.45,26.45
10100119302,ASSEMBLY - C-PILLAR LOWER NUT PLATE,Remove and Replace,0.36,0.36
10100119402,ASSEMBLY - FRONT HEADER GUSSET - LEFT,Remove and Replace,1.32,1.32
10100119502,ASSEMBLY - FRONT HEADER GUSSET - RIGHT,Remove and Replace,1.32,1.32
10100119602,ASSEMBLY - FRONT QUARTER OUTER PANEL WITH GUSSET - LEFT? HAND,Remove and Replace,4.2,4.2
10100119702,ASSEMBLY - FRONT QUARTER OUTER PANEL WITH GUSSET - RIGHT? HAND,Remove and Replace,4.2,4.2
10100119802,ASSEMBLY - HV BATTERY SUPPORT BRACKET - LEFT HAND,Remove and Replace,5.58,5.58
10100119902,ASSEMBLY - INSTRUMENT PANEL CROSS CAR BEAM BRACKET - LEFT,Remove and Replace,2.22,2.22
10100120002,ASSEMBLY - INSTRUMENT PANEL CROSS CAR BEAM BRACKET - RIGHT,Remove and Replace,2.22,2.22
10100120102,ASSEMBLY - MARRIAGE BRACKET - RIGHT,Remove and Replace,5.58,5.58
10100120202,ASSEMBLY - POWERGATE STRUT MOUNT - LEFT HAND,Remove and Replace,0.66,0.66
10100120302,ASSEMBLY - POWERGATE STRUT MOUNT - RIGHT,Remove and Replace,0.66,0.66
10100120402,ASSEMBLY - SIDE SILL EXTRUSION,Remove and Replace,19.25,19.25
10100120502,CANTRAIL TRIM BRACKET,Remove and Replace,0.6,0.6
10100120602,PANEL - UPPER SAIL BRACKET - LEFT HAND,Remove and Replace,0.96,0.96
10100120702,PANEL - UPPER SAIL BRACKET - RIGHT HAND,Remove and Replace,0.96,0.96
10100120802,ROCKER SUPPORT BRACKET,Remove and Replace,1.32,1.32
1010018011,Body Side Panels - Assembly - Front Quarter Outer Panel With Gusset - Left​,Remove and Install,0.71,0.71
1010018012,Body Side Panels - Assembly - Front Quarter Outer Panel With Gusset - Left​,Remove and Replace,0.71,0.71
1010018021,Body Side Panels - Assembly - Front Quarter Outer Panel With Gusset - Right​,Remove and Install,0.71,0.71
1010018022,Body Side Panels - Assembly - Front Quarter Outer Panel With Gusset - Right​,Remove and Replace,0.71,0.71
1010020701,Bed Side Outer Assembly - RH,Remove and Install,1.44,1.44
1010020702,Bed Side Outer Assembly - RH,Remove and Replace,1.44,1.44
1010025011,Tailgate Assembly ,Remove and Install,0.3,0.3
1010025012,Tailgate Assembly,Remove and Replace,0.9,0.9
1010025021,Door - Front - LH,Remove and Install,0.24,0.24
1010025022,Door - Front - LH,Remove and Replace,0.9,0.9
1010025031,Door - Front - RH,Remove and Install,0.24,0.24
1010025032,Door - Front - RH,Remove and Replace,0.9,0.9
1010025041,Door - Rear - LH,Remove and Install,0.24,0.24
1010025042,Door - Rear - LH,Remove and Replace,0.9,0.9
1010025051,Door - Rear - RH,Remove and Install,0.24,0.24
1010025052,Door - Rear - RH,Remove and Replace,0.9,0.9
1010025061,Trim - Cantrail - Roof Rail - LH,Remove and Install,0.66,0.66
1010025062,Trim - Cantrail - Roof Rail - LH,Remove and Replace,0.66,0.66
1010025071,Trim - Cantrail - Roof Rail - RH,Remove and Install,0.66,0.66
1010025072,Trim - Cantrail - Roof Rail - RH,Remove and Replace,0.66,0.66
1010025081,Fender Assembly - Front - LH,Remove and Install,0.66,0.66
1010025082,Fender Assembly - Front - LH,Remove and Replace,0.66,0.66
1010025091,Fender Assembly - Front - RH,Remove and Install,0.66,0.66
1010025092,Fender Assembly - Front - RH,Remove and Replace,0.66,0.66
1010025101,Bed Side Outer Assembly - LH,Remove and Install,1.44,1.44
1010025102,Bed Side Outer Assembly - LH,Remove and Replace,1.44,1.44
1010025111,Closure Panels - Assembly - Bed Side Outer - Right,Remove and Install,1.44,1.44
1010025112,Closure Panels - Assembly - Bed Side Outer - Right,Remove and Replace,1.44,1.44
1010025121,Powergate Hood,Remove and Install,0.3,0.3
1010025122,Powergate Hood,Remove and Replace,0.42,0.42
1010025131,Powergate Fascia,Remove and Install,0.12,0.12
1010025132,Powergate Fascia,Remove and Replace,0.12,0.12
1010025141,Lamp Step Bracket - LH,Remove and Install,0.24,0.24
1010025142,Lamp Step Bracket - LH,Remove and Replace,0.24,0.24
1010025151,Lamp Step Bracket - RH,Remove and Install,0.18,0.18
1010025152,Lamp Step Bracket - RH,Remove and Replace,0.18,0.18
1010025161,Bed Side Applique Corner Bracket - LH,Remove and Install,0.12,0.12
1010025162,Bed Side Applique Corner Bracket - LH,Remove and Replace,0.12,0.12
1010025171,Bed Side Applique Corner Bracket - RH,Remove and Install,0.12,0.12
1010025172,Bed Side Applique Corner Bracket - RH,Remove and Replace,0.12,0.12
1010026005,Powergate (Manual Release),Maintenance,0.18,0.18
1010028003,PANEL - FRONT HEADER UPPER,Remove and Replace,4.5,4.5
1010028004,ASSEMBLY - REAR HEADER INNER,Remove and Replace,2.34,2.34
1010048001,ASSEMBLY - REAR WALL UPPER CROSSMEMBER GLOVE - LEFT HAND,Remove and Replace,1.92,1.92
1010048002,ASSEMBLY - REAR WALL UPPER CROSSMEMBER GLOVE - RIGHT HAND,Remove and Replace,1.92,1.92
1010048003,ASSEMBLY - REAR WALL LOWER CROSSMEMBER GLOVE - LEFT,Remove and Replace,3.3,3.3
1010048004,ASSEMBLY - REAR WALL LOWER CROSSMEMBER GLOVE - RIGHT,Remove and Replace,3.3,3.3
1010048011,ASSEMBLY - REAR WALL COMPLETE,Remove and Replace,11.85,11.85
10100503501,Bed Side Outer Assembly - LH (Long Range),Remove and Install,1.38,1.38
10100503502,Bed Side Outer Assembly - LH (Long Range),Remove and Replace,1.38,1.38
10100504407,Trim - Cantrail - Roof Rail - LH (Rework),Modify,0.24,0.24
10100504507,Trim - Cantrail - Roof Rail - RH (Rework),Modify,0.24,0.24
1010054011,Front Inner Panels - Front Motor Mount - Left,Remove and Install,0.71,0.71
1010054012,Front Inner Panels - Front Motor Mount - Left,Remove and Replace,0.71,0.71
1010054021,Front Inner Panels - Front Motor Mount - Right,Remove and Install,0.71,0.71
1010054022,Front Inner Panels - Front Motor Mount - Right,Remove and Replace,0.71,0.71
1010054031,Front Inner Panels - Front Quarter Outer LH,Remove and Install,0.71,0.71
1010054032,Front Inner Panels - Front Quarter Outer LH,Remove and Replace,0.71,0.71
1010054041,Front Inner Panels - Front Quarter Outer RH,Remove and Install,0.71,0.71
1010054042,Front Inner Panels - Front Quarter Outer RH,Remove and Replace,0.71,0.71
1010054051,Front Inner Panels - Assembly - CFM Bracket Left,Remove and Install,0.71,0.71
1010054052,Front Inner Panels - Assembly - CFM Bracket Left,Remove and Replace,0.71,0.71
1010054061,Front Inner Panels - Assembly - CFM Bracket Right,Remove and Install,0.71,0.71
1010054062,Front Inner Panels - Assembly - CFM Bracket Right,Remove and Replace,0.71,0.71
1010054071,Front Inner Panels - Assembly - Fender Beam - Left,Remove and Install,0.71,0.71
1010054072,Front Inner Panels - Assembly - Fender Beam - Left,Remove and Replace,0.71,0.71
1010054081,Front Inner Panels - Assembly - Fender Beam - Right,Remove and Install,0.71,0.71
1010054082,Front Inner Panels - Assembly - Fender Beam - Right,Remove and Replace,0.71,0.71
1010078001,FRONT MOTOR MOUNT - LEFT HAND,Remove and Replace,0.48,0.48
1010078002,FRONT MOTOR MOUNT - RIGHT HAND,Remove and Replace,0.3,0.3
1010078005,ASSEMBLY - CFM BRACKET LEFT HAND,Remove and Replace,0.54,0.54
1010078006,ASSEMBLY - CFM BRACKET RIGHT HAND,Remove and Replace,0.54,0.54
1010082011,Dash Absorber - LH,Remove and Install,2.4,2.4
1010082012,Dash Absorber - LH,Remove and Replace,2.4,2.4
1010082021,Dash Absorber - RH,Remove and Install,3.36,3.36
1010082022,Dash Absorber - RH,Remove and Replace,3.36,3.36
1010098001,ASSEMBLY - POWERGATE STRUT MOUNT - LEFT,Remove and Replace,0.66,0.66
1010098002,ASSEMBLY - POWERGATE STRUT MOUNT - RIGHT,Remove and Replace,0.66,0.66
1010098003,ASSEMBLY - C-PILLAR INNER - LEFT HAND,Remove and Replace,27.4,27.4
1010098004,ASSEMBLY - C-PILLAR INNER - RIGHT HAND,Remove and Replace,27.4,27.4
1010098009,ASSEMBLY - HV BATTERY SUPPORT BRACKET - LEFT HAND,Remove and Replace,5.58,5.58
1010098010,ASSEMBLY - HV BATTERY SUPPORT BRACKET - RIGHT HAND,Remove and Replace,5.58,5.58
1010098017,ASSEMBLY - FRONT QUARTER OUTER PANEL - LEFT,Remove and Replace,5.22,5.22
1010098018,ASSEMBLY - FRONT QUARTER OUTER PANEL - RIGHT,Remove and Replace,5.22,5.22
1010098019,ASSEMBLY - C-PILLAR LOWER NUT PLATE,Remove and Replace,0.36,0.36
1010098020,ROCKER SUPPORT BRACKET,Remove and Replace,0.4,0.4
10101001302,Front Under Body (Complete),Remove and Replace,16.05,16.05
10101001402,FRONT DRIVE UNIT MOUNT,Remove and Replace,0.42,0.42
10101001502,FRONT DRIVE UNIT MOUNT (RIGHT),Remove and Replace,0.3,0.3
10101014102,ASSEMBLY - FENDER BEAM - LEFT HAND,Remove and Replace,1.62,1.62
10101014202,ASSEMBLY - FENDER BEAM - RIGHT HAND,Remove and Replace,1.62,1.62
10101014302,FRONT BUMPER MOUNT - LEFT HAND,Remove and Replace,0.3,0.3
10101014402,FRONT BUMPER MOUNT - RIGHT HAND,Remove and Replace,0.3,0.3
10101014502,PANEL - GUTTER CONNECTOR - LEFT,Remove and Replace,1.44,1.44
10101014602,PANEL - GUTTER CONNECTOR - RIGHT HAND,Remove and Replace,1.44,1.44
1010102011,Rear Under Body - Rear Fascia Bracket LH,Remove and Install,0.71,0.71
1010102012,Rear Under Body - Rear Fascia Bracket LH,Remove and Replace,0.71,0.71
1010102021,Rear Under Body - Rear Fascia Bracket RH,Remove and Install,0.71,0.71
1010102022,Rear Under Body - Rear Fascia Bracket RH,Remove and Replace,0.71,0.71
10101029702,Front Under Body (Small Section),Remove and Replace,9.4,9.4
10101029802,Front Under Body (Small Section),Remove and Replace,9.4,9.4
10101029902,Dash Reinforcement Assembly,Remove and Replace,18.85,18.85
1010118001,ASSEMBLY - REAR BED BRIDGE BRACKET - RIGHT HAND,Remove and Replace,0.48,0.48
1010118002,ASSEMBLY - MAST CASTING - LEFT,Remove and Replace,21.7,21.7
1010118005,ASSEMBLY - REAR BED BRIDGE BRACKET - LEFT HAND,Remove and Replace,0.32,0.32
1010118006,ASSEMBLY - MAST CASTING - RIGHT,Remove and Replace,21.7,21.7
1010118007,ASSEMBLY - REAR WHEEL ARCH - LEFT,Remove and Replace,41.14,41.14
1010118008,ASSEMBLY - REAR WHEEL ARCH - RIGHT,Remove and Replace,41.1,41.1
1010118010,ASSEMBLY - TAILGATE PLATE - LEFT HAND,Remove and Replace,1.14,1.14
1010118011,ASSEMBLY - TAILGATE PLATE - RIGHT HAND,Remove and Replace,1.14,1.14
1010118014,ASSEMBLY - TAILGATE TOWER - LEFT HAND,Remove and Replace,6.6,6.6
1010118015,ASSEMBLY - TAILGATE TOWER - RIGHT HAND,Remove and Replace,6.6,6.6
1010118020,ASSEMBLY - REAR UNDER BODY HALF SECTION - RIGHT HAND,Remove and Replace,13.4,13.4
10101801202,ASSEMBLY - REAR WALL COMPLETE,Remove and Replace,11.85,11.85
10101801402,PANEL TONNEAU DATUM - LEFT HAND,Remove and Replace,0.96,0.96
10101801602,PANEL TONNEAU DATUM - RIGHT HAND,Remove and Replace,0.96,0.96
10101801802,REAR SEAT STANCHION,Remove and Replace,1.98,1.98
10101811202,Tonneau Attachment Bracket (Upper),Remove and Replace,0.84,0.84
10101812102,ASSEMBLY - REAR WALL LOWER CROSSMEMBER GLOVE - LEFT HAND,Remove and Replace,3.3,3.3
10101812202,ASSEMBLY - REAR WALL LOWER CROSSMEMBER GLOVE - RIGHT HAND,Remove and Replace,3.3,3.3
10101812302,ASSEMBLY - REAR WALL UPPER CROSSMEMBER GLOVE - LEFT HAND,Remove and Replace,2.16,2.16
10101812402,ASSEMBLY - REAR WALL UPPER CROSSMEMBER GLOVE - RIGHT HAND,Remove and Replace,2.16,2.16
10101812502,Tonneau Attachment Bracket (Upper),Remove and Replace,0.84,0.84
10101812702,Rear Seat Stanchion Braces,Remove and Replace,2.46,2.46
10102000102,ASSEMBLY - REAR WHEEL ARCH - LEFT HAND,Remove and Replace,12.4,12.4
10102000202,ASSEMBLY - REAR WHEEL ARCH - RIGHT HAND,Remove and Replace,12.4,12.4
10102000302,WHEELEFTOUSE ARCH LEFT HAND,Remove and Replace,12.55,12.55
10102000402,WHEELEFTOUSE ARCH RIGHT HAND,Remove and Replace,12.55,12.55
10102000502,ASSEMBLY - REAR BED BRIDGE BRACKET - LEFT HAND,Remove and Replace,0.48,0.48
10102000602,ASSEMBLY - REAR BED BRIDGE BRACKET - RIGHT HAND,Remove and Replace,0.48,0.48
10102000702,ASSEMBLY - REAR FASCIA BRACKET - LEFT,Remove and Replace,1.74,1.74
10102000802,ASSEMBLY - REAR FASCIA BRACKET - RIGHT,Remove and Replace,1.74,1.74
10102000902,ASSEMBLY - REAR TIEDOWN NUT PLATE - LEFT HAND,Remove and Replace,0.42,0.42
10102001002,ASSEMBLY - REAR UNDER BODY HALF SECTION - LEFT HAND,Remove and Replace,11.85,11.85
10102001102,ASSEMBLY - REAR UNDER BODY HALF SECTION - RIGHT HAND,Remove and Replace,11.85,11.85
10102001202,ASSEMBLY - TAILGATE PLATE - LEFT HAND,Remove and Replace,1.14,1.14
10102001302,ASSEMBLY - TAILGATE TOWER - RIGHT HAND,Remove and Replace,6.0,6.0
10102001402,REAR FASCIA SUPPORT BRACKET,Remove and Replace,1.5,1.5
10102001502,REAR TIEDOWN NUT PLATE RIGHT HAND,Remove and Replace,0.42,0.42
10102001602,Rear Under Body (Frame Rail Section),Remove and Replace,21.4,21.4
10102001702,TAILGATE PLATE RIGHT HAND,Remove and Replace,1.14,1.14
10102001802,TAILGATE TOWER COMPLETE LEFT HAND,Remove and Replace,6.0,6.0
10102001902,Rear Under Body (Frame Rail Section),Remove and Replace,15.45,15.45
10102002002,Mast Assembly (Section),Remove and Replace,11.0,11.0
10102002102,Mast Assembly (Section),Remove and Replace,11.0,11.0
10102002202,Rear Wheel Arch Extension (Front),Remove and Replace,1.14,1.14
10102002302,Rear Wheel Arch Extension (Front),Remove and Replace,1.14,1.14
10102002702,Rear Under Body (Complete),Remove and Replace,21.4,21.4
10102700302,ASSEMBLY - FRONT HEADER LOWER,Remove and Replace,6.05,6.05
10102700402,ASSEMBLY - REAR HEADER INNER,Remove and Replace,2.34,2.34
10102700602,PANEL - REAR HEADER UPPER,Remove and Replace,20.15,20.15
10108208,Corrosion Protection (Refinish),Restore,0.3,0.3
10108500,Create Imprint of VIN,Inspection,0.14,0.14
10108608,Tesla Body Repair - Body Labor,Body Shop,0.0,0.0
10108808,Tesla Body Repair - Sublet,Body Shop,0.0,0.0
10109008,Structural Body Repair,Repair,0.0,0.0
10109108,Non-Structural Body Repair,Restore,0.0,0.0
10109608,Tesla Body Repair - Insurance Pay,Body Shop,0.0,0.0
10182019,Customer Generated Quote - Issue (Transaction) Resolved - Bound,General diagnosis conclusion,0.0,0.0
10200108,Glass Chip Repair - Windshield,Restore,0.54,0.54
10200118,Glass Scratch Repair - Windshield,Restore,0.36,0.36
1020030011,Seal - Quarter Glass - Front - LH,Remove and Install,0.06,0.06
1020030012,Seal - Quarter Glass - Front - LH,Remove and Replace,0.06,0.06
1020030021,Moving Glass - Door - Rear - LH,Remove and Install,0.24,0.24
1020030022,Moving Glass - Door - Rear - LH,Remove and Replace,0.24,0.24
1020030031,Moving Glass - Door - Rear - RH,Remove and Install,0.24,0.24
1020030032,Moving Glass - Door - Rear - RH,Remove and Replace,0.24,0.24
1020030041,Seal - Quarter Glass - Front - RH,Remove and Install,0.06,0.06
1020030042,Seal - Quarter Glass - Front - RH,Remove and Replace,0.06,0.06
1020030051,Quarter Glass - Front - LH,Remove and Install,1.68,1.68
1020030052,Quarter Glass - Front - LH,Remove and Replace,1.68,1.68
1020030061,Quarter Glass - Front - RH,Remove and Install,1.68,1.68
1020030062,Quarter Glass - Front - RH,Remove and Replace,1.68,1.68
1020030071,Door Glass - Upper Seal LH,Remove and Install,0.71,0.71
1020030072,Door Glass - Upper Seal LH,Remove and Replace,0.71,0.71
1020030081,Door Glass - Upper Seal RH,Remove and Install,0.71,0.71
1020030082,Door Glass - Upper Seal RH,Remove and Replace,0.71,0.71
1020030091,Moving Glass - Door - Front - RH,Remove and Install,0.18,0.18
1020030092,Moving Glass - Door - Front - RH,Remove and Replace,0.18,0.18
1020030101,Moving Glass - Door - Front - LH,Remove and Install,0.18,0.18
1020030102,Moving Glass - Door - Front - LH,Remove and Replace,0.18,0.18
10200348,Clean Forward Camera View (Precision Cleaning of Inboard Glass),Restore,0.42,0.42
1020106011,Roof Glass - Roof Assembly,Remove and Install,2.28,2.28
1020106012,Fixed Glass Roof Assembly,Remove and Replace,2.28,2.28
1020130001,Primary Seal - Door - Rear - RH,Remove and Install,0.06,0.06
1020132011,Windshield Assembly,Remove and Install,2.1,2.1
1020132012,Windshield Assembly,Remove and Replace,2.1,2.1
1020133021,Primary Seal - Door - Rear - LH,Remove and Install,0.06,0.06
1020133051,Seal - Header - LH,Remove and Install,0.12,0.12
1020133052,Seal - Header - LH,Remove and Replace,0.12,0.12
1020133061,Seal - Header - RH,Remove and Install,0.12,0.12
1020133062,Seal - Header - RH,Remove and Replace,0.12,0.12
1020133071,Fixed Backlite Glass,Remove and Install,1.44,1.44
1020133072,Fixed Backlite Glass,Remove and Replace,1.44,1.44
1020133082,Edge Seal - Windshield - Front,Remove and Replace,0.48,0.48
1020133092,Edge Seal - Windshield - LH,Remove and Replace,0.72,0.72
1020133102,Edge Seal - Windshield - RH,Remove and Replace,0.72,0.72
1020133112,Edge Seal - Rear - Roof Glass,Remove and Replace,0.48,0.48
1020300101,Sensor - Windshield - Temperature and Relative Humidity ,Remove and Install,0.18,0.18
