Universal,Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
NO,Model 3,35,10101900102,ASSEMBLY - REAR WHEELEFTOUSE OUTER EXTENSION - RIGHT,Remove and Replace,2.46,2.46
NO,Model 3,35,10101905602,ASSEMBLY - AMPLIFIER MOUNT,Remove and Replace,0.72,0.72
NO,Model 3,35,10101905702,ASSEMBLY - C PILLAR EXTENSION - LEFT HAND,Remove and Replace,13.15,13.15
NO,Model 3,35,10101905802,ASSEMBLY - C PILLAR EXTENSION - RIGHT HAND,Remove and Replace,13.15,13.15
NO,Model 3,35,10101906602,ASSEMBLY - PARCEL SHELF CROSSMEMBER WITH TROUGH,Remove and Replace,5.88,5.88
NO,Model 3,35,10101907302,ASSEMBLY - REAR WHEELEFTOUSE OUTER EXTENSION - LEFT HAND,Remove and Replace,2.46,2.46
NO,Model 3,35,10101907502,ASSEMBLY - WHEELEFTOUSE EXTENSION TO SILL - LEFT HAND,Remove and Replace,2.28,2.28
NO,Model 3,35,10101907602,ASSEMBLY - WHEELEFTOUSE EXTENSION TO SILL - RIGHT HAND,Remove and Replace,2.28,2.28
NO,Model 3,35,10101907902,PANEL - REAR PARCEL SHELF EXTENSION - LEFT HAND,Remove and Replace,1.5,1.5
NO,Model 3,35,10101908002,PANEL - REAR PARCEL SHELF EXTENSION - RIGHT HAND,Remove and Replace,1.5,1.5
NO,Model 3,35,10101911202,PANEL - ROOF RAIL EXTENSION - LEFT HAND,Remove and Replace,11.9,11.9
NO,Model 3,35,10101911302,PANEL - ROOF RAIL EXTENSION - RIGHT HAND,Remove and Replace,11.9,11.9
NO,Model 3,35,10101917602,Rear Center Trough,Remove and Replace,4.62,4.62
NO,Model 3,35,10101917902,Parcel Shelf Crossmember Assembly (Without Center Trough),Remove and Replace,6.95,6.95
NO,Model 3,35,10101920902,Rear Wheel Arch (Section),Remove and Replace,12.6,12.6
NO,Model 3,35,10101921002,Rear Wheel Arch (Section),Remove and Replace,12.6,12.6
NO,Model 3,35,10102900102,PANEL - REAR SILL OUTER - LEFT,Remove and Replace,21.1,21.1
NO,Model 3,35,10102900202,PANEL - REAR SILL OUTER - RIGHT,Remove and Replace,21.1,21.1
NO,Model 3,35,10102902702,ASSEMBLY - REAR JACK PAD,Remove and Replace,10.6,10.6
YES,Model 3,35,10108608,Tesla Body Repair - Body Labor,Body Shop,0.0,0.0
YES,Model 3,35,10108808,Tesla Body Repair - Sublet,Body Shop,0.0,0.0
YES,Model 3,35,10109008,Structural Body Repair,Repair,0.0,0.0
YES,Model 3,35,10109108,Non-Structural Body Repair,Restore,0.0,0.0
YES,Model 3,35,10182019,Customer Generated Quote - Issue (Transaction) Resolved - Bound,General diagnosis conclusion,0.0,0.0
NO,Model 3,35,1020010012,Glass - Body - Rear Quarter - LH,Remove and Replace,1.2,1.2
NO,Model 3,35,1020010022,Glass - Body - Rear Quarter - RH,Remove and Replace,1.2,1.2
NO,Model 3,35,1020010031,Glass - Door - Rear - LH,Remove and Install,0.36,0.36
NO,Model 3,35,1020010032,Glass - Door - Rear - LH,Remove and Replace,0.36,0.36
NO,Model 3,35,1020010041,Glass - Door - Rear - RH,Remove and Install,0.36,0.36
NO,Model 3,35,1020010042,Glass - Door - Rear - RH,Remove and Replace,0.36,0.36
NO,Model 3,35,1020020011,Glass - Roof - Fixed,Remove and Install,1.08,1.08
NO,Model 3,35,1020020012,Glass - Roof - Fixed,Remove and Replace,1.08,1.08
NO,Model 3,35,1020020702,Temperature and Humidity Sensor,Remove and Replace,0.24,0.24
NO,Model 3,35,1020030021,Seal - Upper Perimeter - Backlight,Remove and Install,2.04,2.04
NO,Model 3,35,1020030022,Seal - Upper Perimeter - Backlight,Remove and Replace,2.04,2.04
NO,Model 3,35,1020030031,Seal - Trunk Flip - Backlight,Remove and Install,0.72,0.72
NO,Model 3,35,1020030032,Seal - Trunk Flip - Backlight,Remove and Replace,0.72,0.72
NO,Model 3,35,1020030041,Glass - Backlight,Remove and Install,1.44,1.44
NO,Model 3,35,1020030042,Glass - Backlight,Remove and Replace,1.44,1.44
YES,Model 3,35,1027521,Assistance with Refund of Reservation,Test/Adjust,0.0,0.0
NO,Model 3,35,1120010011,Handle - Exterior Release - Trunk,Remove and Install,0.24,0.24
NO,Model 3,35,1120010012,Handle - Exterior Release - Trunk,Remove and Replace,0.24,0.24
NO,Model 3,35,1120020021,Striker - Trunk,Remove and Install,0.12,0.12
NO,Model 3,35,1120020022,Striker - Trunk,Remove and Replace,0.12,0.12
NO,Model 3,35,1133020001,Striker - Door - RH,Remove and Install,0.06,0.06
NO,Model 3,35,1133020002,Striker - Door - RH,Remove and Replace,0.06,0.06
NO,Model 3,35,1133020011,Striker - Door - LH,Remove and Install,0.06,0.06
NO,Model 3,35,1133020012,Striker - Door - LH,Remove and Replace,0.06,0.06
NO,Model 3,35,1133030061,Gas Strut - Hood,Remove and Install,0.06,0.06
NO,Model 3,35,1133030062,Gas Strut - Hood,Remove and Replace,0.06,0.06
NO,Model 3,35,1133040021,Striker - Active Hood,Remove and Install,0.12,0.12
NO,Model 3,35,1133040022,Striker - Active Hood,Remove and Replace,0.12,0.12
NO,Model 3,35,1133040101,Actuator and Cable Assembly - Hood Latch,Remove and Install,0.18,0.18
NO,Model 3,35,1133040102,Actuator and Cable Assembly - Hood Latch,Remove and Replace,0.18,0.18
NO,Model 3,35,1133040201,Hood Latch,Remove and Install,0.18,0.18
NO,Model 3,35,1133040202,Hood Latch,Remove and Replace,0.18,0.18
NO,Model 3,35,1133050011,Check Strap - Door - Rear,Remove and Install,0.54,0.54
NO,Model 3,35,1133050012,Check Strap - Door - Rear,Remove and Replace,0.54,0.54
NO,Model 3,35,1133060011,Latch - Door - Rear - RH,Remove and Install,0.47,0.47
NO,Model 3,35,1133060012,Latch - Door - Rear - RH,Remove and Replace,0.47,0.47
NO,Model 3,35,1133060021,Latch - Door - Rear - LH,Remove and Install,0.66,0.66
NO,Model 3,35,1133060022,Latch - Door - Rear - LH,Remove and Replace,0.66,0.66
NO,Model 3,35,1133070011,Bump Stop - Liftgate,Remove and Install,0.06,0.06
NO,Model 3,35,1133070012,Bump Stop - Liftgate,Remove and Replace,0.06,0.06
NO,Model 3,35,1133070021,Power Strut - Liftgate - LH,Remove and Install,0.12,0.12
NO,Model 3,35,1133070022,Power Strut - Liftgate - LH,Remove and Replace,0.12,0.12
NO,Model 3,35,1133070031,Power Strut - Liftgate - RH,Remove and Install,0.12,0.12
NO,Model 3,35,1133070032,Power Strut - Liftgate - RH,Remove and Replace,0.12,0.12
NO,Model 3,35,1133070041,Bump Stop - Overslam - Liftgate,Remove and Install,0.06,0.06
NO,Model 3,35,1133070042,Bump Stop - Overslam - Liftgate,Remove and Replace,0.06,0.06
NO,Model 3,35,1133070071,Spoiler - Carbon Fiber,Remove and Install,0.36,0.36
NO,Model 3,35,1133070072,Spoiler - Carbon Fiber,Remove and Replace,0.36,0.36
NO,Model 3,35,1145010131,Handle - Exterior Release - Door - Rear - LH,Remove and Install,0.6,0.6
NO,Model 3,35,1145010132,Handle - Exterior Release - Door - Rear - LH,Remove and Replace,0.6,0.6
NO,Model 3,35,1145010141,Handle - Exterior Release - Door - Rear - RH,Remove and Install,0.6,0.6
NO,Model 3,35,1145010142,Handle - Exterior Release - Door - Rear - RH,Remove and Replace,0.6,0.6
NO,Model 3,35,1145010161,Sensor - Exterior Door Handle - Rear - LH,Remove and Install,0.66,0.66
NO,Model 3,35,1145010162,Sensor - Exterior Door Handle - Rear - LH,Remove and Replace,0.6,0.6
NO,Model 3,35,1145010171,Sensor - Exterior Door Handle - Rear - RH,Remove and Install,0.66,0.66
NO,Model 3,35,1145010172,Sensor - Exterior Door Handle - Rear - RH,Remove and Replace,0.66,0.66
NO,Model 3,35,11500102707,Rear Door Glass Bolt Torque,Modify,0.18,0.18
YES,Model 3,35,11700004,Adjustment: Seal,Test/Adjust,0.2,0.2
NO,Model 3,35,1170030011,Seal - Outer Belt - Rear Door - LH,Remove and Install,0.06,0.06
NO,Model 3,35,1170030012,Seal - Outer Belt - Rear Door - LH,Remove and Replace,0.06,0.06
NO,Model 3,35,1170030021,Seal - Outer Belt - Rear Door - RH,Remove and Install,0.06,0.06
NO,Model 3,35,1170030022,Seal - Outer Belt - Rear Door - RH,Remove and Replace,0.06,0.06
NO,Model 3,35,1170030031,Seal - Secondary - Rear Door - RH,Remove and Install,0.47,0.47
NO,Model 3,35,1170030032,Seal - Secondary - Rear Door - RH,Remove and Replace,0.47,0.47
NO,Model 3,35,1170030041,Seal - Secondary - Rear Door - LH,Remove and Install,0.18,0.18
NO,Model 3,35,1170030042,Seal - Secondary - Rear Door - LH,Remove and Replace,0.18,0.18
NO,Model 3,35,1170030051,Seal - Outer Belt - Rear Door - RH,Remove and Install,0.06,0.06
NO,Model 3,35,1170030052,Seal - Outer Belt - Rear Door - RH,Remove and Replace,0.06,0.06
NO,Model 3,35,1170040011,Seal - Trunk,Remove and Install,0.12,0.12
NO,Model 3,35,1170040012,Seal - Trunk,Remove and Replace,0.12,0.12
YES,Model 3,35,12000004,Adjustment: Exterior Trim,Test/Adjust,0.2,0.2
NO,Model 3,35,1201010021,Noise Absorber - Motor Bay - Rear,Remove and Install,2.16,2.16
NO,Model 3,35,1201010022,Noise Absorber - Motor Bay - Rear,Remove and Replace,2.16,2.16
NO,Model 3,35,1203020011,Panel - Aero Shield - Rear,Remove and Install,0.18,0.18
NO,Model 3,35,1203020012,Panel - Aero Shield - Rear,Remove and Replace,0.18,0.18
NO,Model 3,35,1203020021,Diffuser - Rear Fascia,Remove and Install,0.48,0.48
NO,Model 3,35,1203020022,Diffuser - Rear Fascia,Remove and Replace,0.48,0.48
NO,Model 3,35,1203020031,Cover - Rear Suspension - LH,Remove and Install,0.12,0.12
NO,Model 3,35,1203020032,Cover - Rear Suspension - LH,Remove and Replace,0.12,0.12
NO,Model 3,35,1203020041,Cover - Rear Suspension - RH,Remove and Install,0.12,0.12
NO,Model 3,35,1203020042,Cover - Rear Suspension - RH,Remove and Replace,0.12,0.12
NO,Model 3,35,1205010012,Tesla Badge - Rear,Remove and Replace,0.24,0.24
NO,Model 3,35,1205010061,Sill Plate - Rear - LH,Remove and Install,0.12,0.12
NO,Model 3,35,1205010062,Sill Plate - Rear - LH,Remove and Replace,0.12,0.12
NO,Model 3,35,1205010071,Sill Plate - Rear - RH,Remove and Install,0.47,0.47
NO,Model 3,35,1205010072,Sill Plate - Rear - RH,Remove and Replace,0.47,0.47
NO,Model 3,35,1205010081,Performance Badge - Rear,Remove and Install,0.18,0.18
NO,Model 3,35,1205010082,Performance Badge - Rear,Remove and Replace,0.18,0.18
NO,Model 3,35,1205010091,Dual Motor Badge - Rear,Remove and Install,0.18,0.18
NO,Model 3,35,1205010092,Dual Motor Badge - Rear,Remove and Replace,0.18,0.18
NO,Model 3,35,12050606,Vehicle Configuration Badge (Retrofit),Retrofit,0.12,0.12
NO,Model 3,35,1209010011,Skull Cap - Door Mirror - LH,Remove and Install,0.06,0.06
NO,Model 3,35,1209010012,Skull Cap - Door Mirror - LH,Remove and Replace,0.06,0.06
NO,Model 3,35,1209010021,Skull Cap - Door Mirror - RH,Remove and Install,0.06,0.06
NO,Model 3,35,1209010022,Skull Cap - Door Mirror - RH,Remove and Replace,0.06,0.06
NO,Model 3,35,1209010031,Glass - Door Mirror - LH,Remove and Install,0.06,0.06
NO,Model 3,35,1209010032,Glass - Door Mirror - LH,Remove and Replace,0.06,0.06
NO,Model 3,35,1209010041,Glass - Door Mirror - RH,Remove and Install,0.06,0.06
NO,Model 3,35,1209010042,Glass - Door Mirror - RH,Remove and Replace,0.06,0.06
NO,Model 3,35,1209010051,Applique - A-Pillar - Mirror - Door - LH,Remove and Install,0.24,0.24
NO,Model 3,35,1209010052,Applique - A-Pillar - Mirror - Door - LH,Remove and Replace,0.24,0.24
NO,Model 3,35,1209010061,Applique - A-Pillar - Mirror - Door - RH,Remove and Install,0.24,0.24
NO,Model 3,35,1209010062,Applique - A-Pillar - Mirror - Door - RH,Remove and Replace,0.24,0.24
NO,Model 3,35,1209034011,Mirror - Door - LH,Remove and Install,0.3,0.3
NO,Model 3,35,1209034012,Mirror - Door - LH,Remove and Replace,0.3,0.3
NO,Model 3,35,1209034021,Mirror - Door - RH,Remove and Install,0.3,0.3
NO,Model 3,35,1209034022,Mirror - Door - RH,Remove and Replace,0.3,0.3
NO,Model 3,35,1220010031,Applique - B-Pillar - LH,Remove and Install,0.12,0.12
NO,Model 3,35,1220010032,Applique - B-Pillar - LH,Remove and Replace,0.18,0.18
NO,Model 3,35,1220010041,Applique - B-Pillar - RH,Remove and Install,0.12,0.12
NO,Model 3,35,1220010042,Applique - B-Pillar - RH,Remove and Replace,0.18,0.18
NO,Model 3,35,1220010051,Cover - Applique - B-Pillar - LH,Remove and Install,0.06,0.06
NO,Model 3,35,1220010052,Cover - Applique - B-Pillar - LH,Remove and Replace,0.06,0.06
NO,Model 3,35,1220010061,Cover - Applique - B-Pillar - RH,Remove and Install,0.06,0.06
NO,Model 3,35,1220010062,Cover - Applique - B-Pillar - RH,Remove and Replace,0.06,0.06
NO,Model 3,35,1220020011,Cover - Rocker Panel - Lower - LH,Remove and Install,0.12,0.12
NO,Model 3,35,1220020012,Cover - Rocker Panel - Lower - LH,Remove and Replace,0.12,0.12
NO,Model 3,35,1220020021,Cover - Rocker Panel - Lower - RH,Remove and Install,0.12,0.12
NO,Model 3,35,1220020022,Cover - Rocker Panel - Lower - RH,Remove and Replace,0.12,0.12
NO,Model 3,35,1220020072,Mud Flaps - Pair,Remove and Replace,0.12,0.12
NO,Model 3,35,12207006,Mud Flaps,Retrofit,0.12,0.12
NO,Model 3,35,12207351,Self-Test for USS,Test/Adjust,0.06,0.06
NO,Model 3,35,12208006,Splash Guards (Retrofit),Retrofit,0.12,0.12
YES,Model 3,35,12208583,Mud Flaps (PDI Retrofit),Retrofit,0.0,0.0
NO,Model 3,35,1225010001,Panel - Cowl Screen (RHD),Remove and Install,0.3,0.3
NO,Model 3,35,1225010002,Panel - Cowl Screen (RHD),Remove and Replace,0.3,0.3
NO,Model 3,35,1225010011,Cover - Shock Tower - LH,Remove and Install,0.12,0.12
NO,Model 3,35,1225010012,Cover - Shock Tower - LH,Remove and Replace,0.12,0.12
NO,Model 3,35,1225010021,Cover - Shock Tower - RH,Remove and Install,0.12,0.12
NO,Model 3,35,1225010022,Cover - Shock Tower - RH,Remove and Replace,0.12,0.12
NO,Model 3,35,1225010031,Panel - Cowl Screen,Remove and Install,0.3,0.3
NO,Model 3,35,1225010032,Panel - Cowl Screen,Remove and Replace,0.3,0.3
NO,Model 3,35,1230010016,Trailer Hitch - Rear Energy Absorber,Retrofit,0.54,0.54
NO,Model 3,35,1230010026,Trailer Hitch - Rear Energy Absorber (ECE) (Retrofit),Retrofit,0.66,0.66
NO,Model 3,35,1230124011,Trailer Hitch - Tow Hitch,Remove and Install,0.54,0.54
NO,Model 3,35,1230124012,Trailer Hitch - Tow Hitch,Remove and Replace,0.54,0.54
NO,Model 3,35,12302102,ECU - Trailer Hitch (Remove and Replace),Remove and Replace,0.6,0.6
YES,Model 3,35,12302302,Ball Neck - Trailer Hitch (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model 3,35,12400002,Roof Rack (Remove),Remove and Replace,0.36,0.36
NO,Model 3,35,12505744,Vehicle Wrap – (Removal),Retrofit,0.0,0.0
YES,Model 3,35,13000004,Diagnosis: Seats,Test/Adjust,0.5,0.5
NO,Model 3,35,1301010031,Button - Cushion Adjust - Passenger Seat,Remove and Install,0.06,0.06
NO,Model 3,35,1301010032,Button - Cushion Adjust - Passenger Seat,Remove and Replace,0.06,0.06
NO,Model 3,35,1301010061,Button - Cushion Adjust - Driver Seat,Remove and Install,0.06,0.06
NO,Model 3,35,1301010062,Button - Cushion Adjust - Driver Seat,Remove and Replace,0.06,0.06
NO,Model 3,35,1301020071,Motor - Seat Tilt - 1st Row Seat - LH,Remove and Install,0.24,0.24
NO,Model 3,35,1301020072,Motor - Seat Tilt - 1st Row Seat - LH,Remove and Replace,0.24,0.24
NO,Model 3,35,1301020081,Motor - Seat Tilt - 1st Row Seat - RH,Remove and Install,0.42,0.42
NO,Model 3,35,1301020082,Motor - Seat Tilt - 1st Row Seat - RH,Remove and Replace,0.42,0.42
NO,Model 3,35,1301020201,Motor - Seat Track - Passenger Seat,Remove and Install,0.3,0.3
NO,Model 3,35,1301020202,Motor - Seat Track - Passenger Seat,Remove and Replace,0.3,0.3
NO,Model 3,35,1301020301,Motor - Seat Track - Driver Seat,Remove and Install,0.36,0.36
NO,Model 3,35,1301020302,Motor - Seat Track - Driver Seat,Remove and Replace,0.48,0.48
NO,Model 3,35,1304010011,Seat Assembly - 1st Row - No Lumbar - RH,Remove and Install,0.3,0.3
NO,Model 3,35,1304010012,Seat Assembly - 1st Row - No Lumbar - RH,Remove and Replace,0.3,0.3
NO,Model 3,35,1304010021,Seat Assembly - 1st Row - LH,Remove and Install,0.42,0.42
NO,Model 3,35,1304010022,Seat Assembly - 1st Row - LH,Remove and Replace,0.42,0.42
NO,Model 3,35,1305010011,Pivot Cover - Seat Back - 2nd Row,Remove and Install,0.3,0.3
NO,Model 3,35,1305010012,Pivot Cover - Seat Back - 2nd Row,Remove and Replace,0.3,0.3
NO,Model 3,35,1305010021,Seatback - 2nd Row - RH,Remove and Install,0.18,0.18
NO,Model 3,35,1305010022,Seatback - 2nd Row - RH,Remove and Replace,0.18,0.18
NO,Model 3,35,1305010031,Seatback - 2nd Row - LH,Remove and Install,0.24,0.24
NO,Model 3,35,1305010032,Seatback - 2nd Row - LH,Remove and Replace,0.24,0.24
NO,Model 3,35,1305010041,Seat Cushion - 2nd Row,Remove and Install,0.12,0.12
NO,Model 3,35,1305010042,Seat Cushion - 2nd Row,Remove and Replace,0.12,0.12
NO,Model 3,35,1305010071,Armrest - 2nd Row,Remove and Install,0.42,0.42
NO,Model 3,35,1305010072,Armrest - 2nd Row,Remove and Replace,0.42,0.42
NO,Model 3,35,1305011311,Trim - Lower Closeout - Armrest - 2nd Row,Remove and Install,0.42,0.42
NO,Model 3,35,1305011312,Trim - Lower Closeout - Armrest - 2nd Row,Remove and Replace,0.42,0.42
NO,Model 3,35,1305012211,Pivot Sleeve - Seat Back - 2nd Row - Center,Remove and Install,0.24,0.24
NO,Model 3,35,1305012212,Pivot Sleeve - Seat Back - 2nd Row - Center,Remove and Replace,0.24,0.24
NO,Model 3,35,1305020011,Closeout - Armrest - 2nd Row,Remove and Install,0.36,0.36
