Universal,Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
NO,Model S,1,11352502,Striker - Door - Rear - LH (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model S,1,11352602,Striker - Door - Rear - RH (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model S,1,11353402,Striker - Liftgate (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model S,1,11355002,Latch - Liftgate (Remove & Replace),Remove and Replace,0.3,0.3
NO,Model S,1,11355102,Striker - Hood (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model S,1,11355202,"Latch - Hood - Primary (RWD) (Vehicles built before April 16, 2016) (Remove & Replace)",Remove and Replace,0.3,0.3
NO,Model S,1,11355302,"Latch - Hood - Secondary (RWD) (Vehicles built before April 16, 2016)  (Remove & Replace)",Remove and Replace,0.54,0.54
NO,Model S,1,11355602,"Latch - Hood (Dual Motor) (Vehicles built before April 16, 2016)  (Remove & Replace)",Remove and Replace,0.24,0.24
NO,Model S,1,11355702,"Latch - Hood (Vehicles built after April 16, 2016) (Remove & Replace)",Remove and Replace,0.24,0.24
NO,Model S,1,11355802,Actuator - Latch - Hood - LH (Remove & Replace),Remove and Replace,0.3,0.3
NO,Model S,1,11355893,Secondary Hood Latch - No Problem Found,Inspection,0.05,0.05
NO,Model S,1,11355902,Actuator - Latch - Hood - RH (Remove & Replace),Remove and Replace,0.3,0.3
NO,Model S,1,11356202,Cable - Latch - Hood (RWD) (Remove & Replace),Remove and Replace,0.42,0.42
NO,Model S,1,11356502,Cable - Latch - Hood - LH (Dual Motor) (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model S,1,11356602,Cable - Latch - Hood - RH (Dual Motor) (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model S,1,11356897,Secondary Hood Latch - Adjusted ,Modify,0.2,0.2
NO,Model S,1,11357002,Exterior Release Switch - Liftgate (Remove & Replace),Remove and Replace,0.48,0.48
NO,Model S,1,11450202,Handle - Exterior Release - Door - Rear - RH Generation 2.1 (Remove and Replace),Remove and Replace,0.72,0.72
NO,Model S,1,11450402,Handle - Exterior Release - Door - Rear - RH Generation 3.0 (Remove and Replace),Remove and Replace,0.72,0.72
NO,Model S,1,11452006,Handle - Exterior Release - Door - Rear - 3rd Generation - LH - Retrofit,Retrofit,1.14,1.14
NO,Model S,1,11452012,Handle - Exterior Release - Door - Rear - LH Generation 3.0 (Remove & Replace),Remove and Replace,0.72,0.72
NO,Model S,1,11452016,Handle - Exterior Release - Door - Rear - LH - Generation 2.1 (Retrofit),Retrofit,1.2,1.2
NO,Model S,1,11452022,Handle - Exterior Release - Door - Rear - LH Generation 2.1 (Remove & Replace),Remove and Replace,0.72,0.72
NO,Model S,1,11452106,Handle - Exterior Release - Door - Rear - 3rd Generation - RH - Retrofit,Retrofit,1.14,1.14
NO,Model S,1,11452112,Handle - Exterior Release - Door - Rear - RH - Generation 3.0 (Remove & Replace),Remove and Replace,0.72,0.72
NO,Model S,1,11452116,Handle - Exterior Release - Door - Rear - RH - Generation 2.1 (Retrofit),Retrofit,1.2,1.2
NO,Model S,1,11452122,Handle - Exterior Release - Door - Rear - RH - Generation 2.1 (Remove & Replace),Remove and Replace,0.72,0.72
NO,Model S,1,11452202,Module - Door Handle Controller – Rear - RH - Generation 3.0 (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model S,1,11452302,Module - Door Handle Controller – Rear - LH - Generation 3.0 (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model S,1,11452603,Handle - Rear Door - Exterior Release - LH - Generation 2.5 (Dismantle and Rebuild),Remove and Rebuild,0.72,0.72
NO,Model S,1,11452703,Handle - Rear Door - Exterior Release - RH - Generation 2.5 (Dismantle and Rebuild),Remove and Rebuild,0.72,0.72
NO,Model S,1,11453202,Grip - Door - Exterior Handle - Rear - LH (Remove & Replace),Remove and Replace,0.96,0.96
NO,Model S,1,11453302,Grip - Door - Exterior Handle - Rear - RH (Remove & Replace),Remove and Replace,0.96,0.96
NO,Model S,1,11454702,LED - Door - Exterior Handle - Rear - LH (Remove & Replace),Remove and Replace,0.96,0.96
NO,Model S,1,11454802,LED - Door - Exterior Handle - Rear - RH (Remove & Replace),Remove and Replace,1.02,1.02
NO,Model S,1,11456202,Press Sensor - Door - Exterior Handle - Rear - LH (Remove & Replace),Remove and Replace,0.72,0.72
NO,Model S,1,11456302,Press Sensor - Door - Exterior Handle - Rear - RH (Remove & Replace),Remove and Replace,0.72,0.72
NO,Model S,1,11457442,Paddle Gear - Handle - Exterior Release - Door - Rear - LH - Generation 3.0 (Remove & Replace),Remove and Replace,0.9,0.9
NO,Model S,1,11457502,Position Switch Harness - Door Handle (Remove & Replace),Remove and Replace,0.9,0.9
NO,Model S,1,11457642,Paddle Gear - Handle - Exterior Release - Door - Rear - RH - Generation 3.0 (Remove & Replace),Remove and Replace,0.96,0.96
NO,Model S,1,11459002,Handle Motor - Exterior Release - Door - Rear - LH - Generation 3.0 (Remove and Replace),Remove and Replace,0.84,0.84
NO,Model S,1,11459102,Handle Motor - Exterior Release - Door - Rear - RH - Generation 3.0 (Remove and Replace),Remove and Replace,0.84,0.84
NO,Model S,1,11500302,Door Glass - LH - Rear (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model S,1,11500402,Door Glass - RH - Rear (Remove & Replace),Remove and Replace,0.24,0.24
YES,Model S,1,11700004,Adjustment: Seal,Test/Adjust,0.2,0.2
NO,Model S,1,11701502,Seal - Rear Door - LH (Remove & Replace),Remove and Replace,0.36,0.36
NO,Model S,1,11701602,Seal - Rear Door - RH (Remove & Replace),Remove and Replace,0.36,0.36
NO,Model S,1,11701802,Seal - Hood (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model S,1,11701902,Seal - Lip - Trunk Trim Center (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model S,1,11702002,Seal - Liftgate (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model S,1,11702502,Seal - Outer Belt - Rear Door - RH (Remove and Replace),Remove and Replace,0.06,0.06
NO,Model S,1,11704402,Seal - Outer Belt - Rear Door - LH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model S,1,11704502,Seal - Outer Belt - Rear Door- RH (Remove & Replace),Remove and Replace,0.12,0.12
YES,Model S,1,12000004,Adjustment: Exterior Trim,Test/Adjust,0.2,0.2
NO,Model S,1,12030502,Panel - Aero Shield - Mid (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model S,1,12030802,Panel - Diffuser Tray - Rear (Remove & Replace),Remove and Replace,1.5,1.5
NO,Model S,1,12030902,Rails - Diffuser Tray Rear - LH (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model S,1,12031002,Rails - Diffuser Tray Rear - RH (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model S,1,12050602,Vehicle Configuration Badge (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model S,1,12050606,Vehicle Configuration Badge (Retrofit),Retrofit,0.12,0.12
NO,Model S,1,12050607,Vehicle Configuration Badge (Remove),Modify,0.06,0.06
NO,Model S,1,12050702,Tesla Badge - Rear (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model S,1,12091102,Door Mirror Assembly - LH (Remove & Replace),Remove and Replace,0.36,0.36
NO,Model S,1,12091202,Door Mirror Assembly - RH (Remove & Replace),Remove and Replace,0.36,0.36
NO,Model S,1,12091702,Skull Cap - Door Mirror - LH (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model S,1,12091802,Skull Cap - Door Mirror - RH (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model S,1,12092002,Glass - Door Mirror - LH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model S,1,12092102,Glass - Door Mirror - RH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model S,1,12200102,'B'  Post Trim Panel - LH (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model S,1,12200202,'B'  Post Trim Panel - RH (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model S,1,12201002,Spoiler–Rear-Replace (Remove & Replace),Remove and Replace,0.0,0.0
NO,Model S,1,12201602,Scuff Plate - Rocker Panel - LH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model S,1,12201702,Scuff Plate - Rocker Panel - RH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model S,1,12207002,Applique - Liftgate (Remove & Replace),Remove and Replace,0.54,0.54
YES,Model S,1,12208583,Mud Flaps (PDI Retrofit),Retrofit,0.0,0.0
NO,Model S,1,12220402,Spoiler - Rear (Remove & Replace),Remove and Replace,0.3,0.3
NO,Model S,1,12220407,Spoiler - Rear (Remove),Modify,0.18,0.18
NO,Model S,1,12250902,Panel - Cowl Screen (Remove & Replace),Remove and Replace,0.3,0.3
NO,Model S,1,12251012,Cover - Shock Tower - LH (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model S,1,12251112,Cover - Shock Tower - RH (Remove & Replace),Remove and Replace,0.12,0.12
YES,Model S,1,12302302,Ball Neck - Trailer Hitch (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model S,1,12505744,Vehicle Wrap – (Removal),Retrofit,0.0,0.0
YES,Model S,1,13000004,Diagnosis: Seats,Test/Adjust,0.5,0.5
NO,Model S,1,13010412,Fan - Cushion - Driver Seat (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model S,1,13010602,Module - Memory Seat  (Remove & Replace),Remove and Replace,0.48,0.48
NO,Model S,1,13011002,Track - Outer - Driver's Seat (Remove & Replace),Remove and Replace,0.96,0.96
NO,Model S,1,13011202,Motor - Seat Track - Driver Seat (Remove & Replace),Remove and Replace,0.6,0.6
NO,Model S,1,13011502,Motor - Seat Tilt - Driver Seat (Remove & Replace),Remove and Replace,0.72,0.72
NO,Model S,1,13011602,Motor - Seat Height - Driver's Seat (Remove & Replace),Remove and Replace,0.84,0.84
NO,Model S,1,13012002,Riser - Outer - Driver Seat (Remove & Replace),Remove and Replace,0.36,0.36
NO,Model S,1,13014102,Power Lumbar Assembly - Driver Seat (Remove and Replace),Remove and Replace,0.6,0.6
NO,Model S,1,13015002,Switch - Seat Height Adjust - Driver's Seat (1st Generation Seat)  (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model S,1,13015102,Switch - Back Rest and Cushion Adjust - Driver's Seat (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model S,1,13015152,Switch - Back Rest and Cushion Adjust - Driver Seat (2nd Generation Seat) (Remove and Replace),Remove and Replace,0.12,0.12
NO,Model S,1,13016002,Motor - Headrest - Driver's (Premium Seats) (Remove & Replace),Remove and Replace,0.9,0.9
NO,Model S,1,13016052,Motor - Headrest - Driver (Remove & Replace),Remove and Replace,0.42,0.42
NO,Model S,1,13016202,Controller - Driver Seat (Remove and Replace),Remove and Replace,0.42,0.42
NO,Model S,1,13018102,Button - Cushion Adjust - Driver Seat (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model S,1,13040102,1st Row Seat Assembly - LH (Remove & Replace),Remove and Replace,0.54,0.54
